,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
함창,15947,16006,16820,17017,16339,14641,14422,14860,10967,6692,5560
함평,119197,115894,113101,108530,105079,101117,93186,85748,86440,53656,55347
행신,446952,508710,676666,760843,931603,1140206,1317652,1491946,1566106,1064437,1285285
현동,4766,4997,3980,2906,2952,2851,2517,2084,2053,1063,1758
호계,523012,605841,683535,715515,729637,689790,698845,720298,717779,447362,483070
홍성,1252177,1282432,1340977,1348240,1326325,1254430,1224431,1197091,1193371,702177,744731
화명,120896,117556,142894,146803,137800,134266,149452,145594,150936,101747,123113
화본,12816,23912,40368,41213,32108,25082,20883,20712,16074,5533,7801
화순,46439,45295,38520,34135,28483,27923,24051,24152,23534,15053,15545
황간,74679,77035,82621,89838,86833,80666,85439,80209,81430,53139,57626
횡성,,,,,,,5632,169676,210868,142977,166684
횡천,18464,19460,13329,13025,11230,11388,14274,13909,13844,10585,11674
효자,11760,12388,14983,16598,4105,,,,,,
효천,29001,26865,21246,21446,20382,17934,15893,15705,17905,13707,15883
희방사,7865,6932,7614,6930,8285,5646,6506,4264,4398,3646,
